10;105;5.75
10;42;4.74
42;93;3.62
42;56;3.12
105;93;3.11
42;10;2.92
105;10;2.29
56;42;1.79
93;42;1.71
93;105;1.42
10;60;1.27
10;6;1.19
10;56;1.13
6;10;1.13
6;93;1.1
6;56;1.03
10;84;0.91
10;185;0.88
6;99;0.87
91;10;0.85
59;93;0.77
60;42;0.76
105;185;0.73
10;89;0.72
42;185;0.7
10;91;0.68
42;99;0.64
99;105;0.61
208;105;0.6
17;93;0.6
99;42;0.59
42;60;0.55
10;17;0.54
105;56;0.54
89;10;0.54
208;42;0.52
117;6;0.49
10;52;0.45
6;60;0.43
10;59;0.41
42;139;0.39
59;10;0.39
17;10;0.37
10;93;0.36
139;42;0.35
36;105;0.35
84;42;0.35
105;99;0.35
139;105;0.33
52;93;0.33
42;40;0.32
105;208;0.31
42;149;0.31
93;59;0.31
105;139;0.31
60;10;0.3
105;149;0.3
10;66;0.3
117;42;0.3
99;66;0.29
185;42;0.28
42;117;0.28
93;10;0.28
36;42;0.27
93;91;0.27
42;84;0.27
42;208;0.26
10;40;0.26
59;185;0.25
56;10;0.24
93;89;0.24
105;60;0.23
59;60;0.23
52;10;0.22
93;17;0.22
185;105;0.22
91;93;0.22
93;52;0.22
51;93;0.21
42;66;0.21
10;141;0.2
42;36;0.2
10;58;0.2
105;66;0.2
10;111;0.19
58;10;0.19
105;40;0.19
115;42;0.19
60;17;0.19
105;19;0.19
42;19;0.19
10;99;0.18
117;105;0.18
149;10;0.18
93;56;0.17
105;117;0.17
63;93;0.06
63;10;0.05
10;63;0.03
63;99;0.02
