723;BitObmen;;0;942999
718;Platov;;0;99009997
752;24ExPay;;0;23046102
688;ExchangeExpress;279259009479;832;0
712;Criptify;;0;0
755;Big-Changer;;0;14180
703;Obmen4you;320026778932;1667;11723
716;Bitok777;;0;0
782;Tec-Bit;;0;200801
763;PushPayer;753021635396;0;49342
758;CryptoBox;;0;11563840
741;BTCe-Obmen;;0;7729879
737;BonkyPay;232342940453;0;110922774
754;24XChange;;0;493501
757;ChangeNow;;0;105957470
770;BTC24pro;;0;0
779;MoneyMix;;0;0
790;2rbina;;0;92659438
776;XbiTrade;;0;1267466
785;PayMarket;;0;21637142
1176;CashFlow;;0;0
780;Bitcoin24Pro;;0;25422138
774;ОбменМонет;;0;36306516
766;UniCash;;0;180511800
764;NiceChange;;0;126448723
772;CoinPayMaster;;0;896916535
792;SberBit;;0;0
1137;Пандпэй;;0;66077557
784;InTo;;0;90331010
799;Криптообменник;;0;0
793;IceBTC;;0;50925157
798;Quickex;;0;74037707
788;FlyMoney;;0;0
807;CryptoBar;;0;0
808;ChangeCoins;;0;2288622
814;BitBits;;0;12083
835;7Pay;709807738416;1799;1215462
827;Crypster;;0;16037758
818;R-Obmen;;0;65908011
817;Enter-Change;;0;90922817
812;Ex-Bank;;0;12247612
823;Обменочка;;0;0
809;XbitMoney;155289860990;1815;3011142
825;MyChanger;;0;412549
816;KZ007;;0;7355291
1139;ПоТеме;;0;20864432
840;YoChange;;0;275106593
838;AlfaExchange;;0;31989824
839;MyInvestStory;;0;5212
821;ExchangeTeam;;0;662236639
815;Belqi;;0;0
842;AllMoney;406103529800;0;40142520
850;Keine-Exchange;;0;179857665
846;ExchangeYourMoney;;0;1612512
848;SwapCoin;;0;31323013
852;RamonCash;;0;68615422
855;CoinStart;;0;31590124
858;FixedFloat;;0;21201045
865;Bixter;;0;22113620
869;ExpoChange;412963033166;0;47496913
866;Delets;;0;90584217
872;WM-Obmen;362955051206;0;312694
871;BitokAi;;0;0
895;CryptoBarMen;;0;0
870;Alfa-Trades;;0;118472423
881;JetMonet;;0;9003372
877;Об-мен;963523258975;0;1507949
890;Bitcoff;631856629771;0;0
884;Cryptex;;0;6694273
907;ObmenAT24;;0;0
874;ChangeHero;;0;107510473
1093;GetExch;;0;3874167
905;TraiderIdeal;;0;323497
902;BTC-Волга;;0;1743719
897;AnonEx;;0;1378970
888;GramBit;;0;91724792
894;КупиБит;;0;5376738
898;Вобменка;;0;0
901;WMStar;310224582545;0;145453
899;CoinShop24;;0;84528252
900;Obmen-Box;;0;0
896;CoinChanger;;0;2523800
915;CoinGuru;;0;75853316
989;CoinsBlack;890273718097;0;28524030
913;Quantex;;0;1003891
917;Micro-exchange;;0;38415335
916;Cryptos;;0;429955
925;Sunduk;;0;962219
918;КриптоРай;;0;1207
939;EuroBit;;0;10116604
935;Wiki-Exchange;;0;129655214
923;HD-Change;;0;47684
943;TopCash;;0;541824
927;Msk-Exchange;;0;28428776
933;TytCash;;0;48722
929;RoyalCash;;0;1011405088
930;Crypto-Store;;0;39630642
942;ExHub;;0;4337226
944;EExchanger;330964771407;101;43066634
949;Coco-Pay;;0;7328642
948;AbcObmen;;0;193685305
950;UAchanger;;0;61488746
952;ExLine;;0;488719
954;E-Change;;0;1082809484
961;MyBTC;;0;0
960;Crybex;195257639270;0;112580161
959;ExchangeKey;;0;48660632
953;Livex;;0;0
956;Обменко;;0;55402101
958;24Zone;;0;100000
963;Global-Ex;;0;26671045
955;AlfaBit;;0;77355563
966;BlaBlaChange;;0;156145016
967;КриптоОбмен;;0;2251155
981;WMChanger;;0;145455180
1016;Банкир;;0;831865
971;CryptoSell;;0;261509
997;CoinJoin;;0;32939942
985;Tuco;;0;16484887
983;Bitality;;0;960748119
968;CryptoMax;;0;71859473
977;CityBit;;0;0
984;Cash-Bit;;0;0
969;4Money;;0;522187
994;TipTopObmen;;0;72031774
976;ChangeProject;;0;142577481
992;OneMoment;;0;320498780
970;AlfaChange;;0;752008952
987;Itez;;0;54575
982;WxMoney;;0;42155697
974;BestKurs24;;0;1580568
980;GrandChange;;0;808247998
975;PremierCash;;0;2398754
986;PayFull;;0;243610
1011;IChangeOne;137024936562;0;2988724
999;LetsPay;;0;2116751
1003;Crypto-Market24;;0;25990
998;Момент;;0;0
1027;Nordex;;0;20254224
1040;HiExchange;209080513788;578;2829657
1013;AvanChange;359556728149;0;54461360
1008;BroExchange;;0;95258839
1005;EezyCash;594705036984;3;34268751
1006;Сова;;0;290243942
1002;ExCenter;;0;34414040
1001;CatBit;;0;1758180
1000;BazaObmena;;0;42573061
1014;Coin24;;0;169182875
1015;ТочкаОбмена;512160110371;0;43374
1010;Coinumm;;0;1289202
1039;Xenex;;0;0
1032;Crypto-Bank;;0;0
1026;Ripae;;0;179899
1021;Крипта;;0;56004644
1009;CryptoShopping;;0;0
1019;001K;156178959868;66;21647894
1029;SwiftChange;;0;12341098
1004;ExWm;910856141988;1050;79225
1038;Обама;455223738561;285;17416487
1036;CoinCat;;0;16893502
1028;BTCSale;;0;2570892
1030;PocketBank;;0;292398293
1023;UnioChange;;0;11529636
1033;CosmoChanger;;0;838725605
1025;GlobalBits;;0;17699919
1035;CryptoXchange;;0;26968793
1024;Just-Exchanger;;0;0
1034;ClickPay;285857469245;0;34389755
1047;Money-Office;;0;0
1046;Муха;;0;479566
1043;Exolix;164518058707;0;279985
1044;BitBong;;0;37257159
1135;SpectrumChange;;0;14701439
1081;DotSatoshi;;0;1286424442
1042;CoinBox;;0;68275181
1049;BlaBlaMoney;;0;82647316
1050;Kursov24;;0;378431998
1055;Finex24;;0;53329241
1065;X-Obmen;905028210175;0;0
1053;ATMExchanger;;0;851264
1059;ОбменкаSU;;0;1437993
1057;Fly-Pay;206304305615;79;127030
1056;First-BTC;;0;31541034
1064;ObmenGuru;185471005666;165;16744
1051;КриптоКасса;;0;0
1058;EasyBit;;0;135655748
1061;Adb;;0;0
1069;Clean-Exchange;;0;13593070
1060;CryptoStrike;;0;79162997
1063;Оборот;;0;162141
1067;InstaBit;557452850931;0;0
1066;1Million;;0;7242169
1074;CoinBlinker;;0;39637903
1070;Монеткин;;0;42028158
1068;Paynote;;0;1274589
1071;CoinDrop;;0;459431
1072;N1ex;;0;116763
1073;IziBTC;;0;308151789
1079;WMZSale;111804423672;1045;193884
1078;AtPayz;806980557044;958;13430625
1080;BTCKassa;;0;134828
1094;SCSObmen;951426373513;620;42066
1085;NateBit;;0;0
1084;Easy-Change;;0;0
1083;ExpressMoney;;0;444605
1092;Cash2Pay;;0;1014710
1096;BTCWorm;;0;66425870
1087;CryptoKarma;;0;62933979
1103;CrystalMoney;;0;1261218191
1086;ExchangeForMe;;0;72330583
1102;ZombieCash;708628165872;0;7568954
1105;LigaBTC;283450596145;0;0
1089;AllTop;;0;1440833
1098;CashBox;;0;20816014
1088;Swap-Exchange;;0;0
1101;GrumBot;;0;168747
1095;YaObmen;;0;4853628
1109;MixChanger;;0;0
1107;Bitfondo;;0;63212422
1106;NiceObmen;;0;14773384
1108;SmartMoney;556315249748;0;0
1110;XChanger;;0;55149308
1113;Crypto-Polis;;0;17908388
1115;CriptHub;396352330360;0;11890264
1116;ExBit;;0;2298137
1112;BTCRotor;;0;104227186
1114;YesObmen;;0;12916573
1126;Bitcoin-Armenia;;0;250000
1117;BTCBoss;;0;930938675
1124;1654Exchange;;0;0
1121;LetsExchange;;0;125374504
1118;NitroCrypt;;0;879580202
1119;Crypto-Dom;;0;45480819
1122;CoinTok;;0;821694
1120;ExWhite;;0;1358178
1123;Crypocto;255549462586;90;225420270
1125;IceSatoshi;;0;5125209
1127;ВсемОбмен;;0;4327
1128;BTchange;257686064312;105;0
1129;ExBaza;;0;265751
1130;Base-Exchange;;0;0
1132;CryptoGin;;0;101916094
1131;Арбуз;;0;3110837
1163;JarvisExchange;;0;129343952
1149;БухтаОбмена;;0;89260140
1134;InstantExchangers;;0;30997
1151;Ecurex;;0;0
1165;Метка;;0;925602120
1136;ЗеленаяСвеча;139305014241;0;0
1138;EasyGlobal;;0;2450797
1148;CryexPro;;0;0
1141;Kingex;;0;231773717
1162;Crystal-Trade;;0;222502638
1143;KindExchange;;0;122069549
1144;LetsChange;;0;0
1158;TradeToCash;;0;424265965
1156;LovanPay;;0;372116590
1154;111Обмен;;0;12645178
1153;Урал-Обмен;;0;0
1157;Е-Банк;;0;0
1146;КриптоТонна;;0;3845756
1145;Даркен;;0;56835997
1155;ECashExpert;;0;0
1161;CoinCraddle;;0;65200371
1166;Bit100k;;0;2114805
1150;UkrExchange;;0;1141728
1195;AltinBit;999428043283;0;4361899
1212;Fury-Exchange;;0;0
1203;WeDoExchange;;0;13424182
1189;BelkaPay;;0;12323797
1182;RexChanger;;0;280831
1177;MoneyPort;;0;589248
1167;Changee;;0;49502675
1168;CatChange;;0;80018035
1169;Yoa;;0;633698
1174;FreeChange;;0;15837256
1206;Sellver;;0;29958025
1198;CryptoSwap365;;0;0
1175;Dvizh;;0;76859884
1193;KeyChanger;;0;0
1170;Monease;;0;256654316
1196;EpiChange;;0;9069204
1187;eBTCpro;;0;0
1173;BroGuru;;0;182901471
1211;Криптохаб;;0;68418242
1183;Crypcie;;0;104108464
1179;Convertex24;;0;3291295
1171;Альткоин;;0;327624549
1172;Обмен-Бро;483565345269;1037;17261
1180;Мытнинский;;0;0
1184;X-Capital;;0;10705065
1214;Cryptofiat;668272779686;114;1528390
